Agnes of God;[u'Drama', u'Mystery'];[u'John Pielmeier'];Agnes_of_God;../data/scraping/texts/Agnes_of_God.txt
Air Force One;[u'Action', u'Adventure', u'Drama', u'Thriller'];[u'Andrew W. Marlowe'];Air_Force_One;../data/scraping/texts/Air_Force_One.txt
Airplane;[u'Comedy', u'Romance'];[u'Jim Abrahams', u' David Zucker', u'Jerry Zucker'];Airplane;../data/scraping/texts/Airplane.txt
Airplane 2: The Sequel;[u'Comedy', u'Sci-Fi'];[u'Ken Finkleman'];Airplane_2:_The_Sequel;../data/scraping/texts/Airplane_2:_The_Sequel.txt
Aladdin;[u'Animation', u'Family', u'Musical', u'Fantasy', u'Comedy'];[u'Roger Allers', u'Ron Clements'];Aladdin;../data/scraping/texts/Aladdin.txt
Ali;[u'Drama'];[u'Stephen J Rivele', u'Christopher Wilkinson', u'Eric Roth', u'Michael Mann'];Ali;../data/scraping/texts/Ali.txt
Alien;[u'Action', u'Horror', u'Sci-Fi', u'Thriller'];[u'Walter Hill', u'David Giler'];Alien;../data/scraping/texts/Alien.txt
Alien 3;[u'Action', u'Drama', u'Horror', u'Sci-Fi', u'Thriller'];[u'Rex Pickett'];Alien_3;../data/scraping/texts/Alien_3.txt
Alien Nation;[u'Crime', u'Drama', u'Sci-Fi'];[u"Rockne O'Bannon", u'James Cameron'];Alien_Nation;../data/scraping/texts/Alien_Nation.txt
Alien vs. Predator;[u'Action', u'Horror', u'Sci-Fi', u'Thriller'];[u'Peter Briggs'];Alien_vs;../data/scraping/texts/Alien_vs.txt
Alien: Resurrection;[u'Action', u'Horror', u'Sci-Fi', u'Thriller'];[u'Joss Whedon'];Alien:_Resurrection;../data/scraping/texts/Alien:_Resurrection.txt
Aliens;[u'Action', u'Horror', u'Sci-Fi', u'Thriller'];[u'James Cameron'];Aliens;../data/scraping/texts/Aliens.txt
All About Eve;[u'Drama'];[u'Joseph Mankiewicz'];All_About_Eve;../data/scraping/texts/All_About_Eve.txt
All About Steve;[u'Comedy'];[u'Kim Barker'];All_About_Steve;../data/scraping/texts/All_About_Steve.txt
All the King's Men;[u'Drama'];[u'Robert Rossen'];All_the_King's_Men;../data/scraping/texts/All_the_King's_Men.txt
All the President's Men;[u'Drama', u'Thriller'];[u'William Goldman'];All_the_President's_Men;../data/scraping/texts/All_the_President's_Men.txt
Almost Famous;[u'Comedy', u'Drama', u'Romance'];[u'Cameron Crowe'];Almost_Famous;../data/scraping/texts/Almost_Famous.txt
Alone in the Dark;[u'Action', u'Horror', u'Thriller'];[u'Elan Mastai', u'Michael Roesch'];Alone_in_the_Dark;../data/scraping/texts/Alone_in_the_Dark.txt
Amadeus;[u'Drama'];[u'Peter Shaffer'];Amadeus;../data/scraping/texts/Amadeus.txt
Amelia;[u'Drama'];[u'Ronald Bass', u'Anna Hamilton Phelan'];Amelia;../data/scraping/texts/Amelia.txt
American Beauty;[u'Drama'];[u'Alan Ball'];American_Beauty;../data/scraping/texts/American_Beauty.txt
American Gangster;[u'Crime', u'Drama'];[u'Steven Zaillian', u'Mark Jacobson'];American_Gangster;../data/scraping/texts/American_Gangster.txt
American Graffiti;[u'Comedy', u'Drama'];[u'George Lucas', u'Gloria Katz', u'Willard Huyck'];American_Graffiti;../data/scraping/texts/American_Graffiti.txt
American History X;[u'Crime', u'Drama', u'Thriller'];[u'David McKenna'];American_History_X;../data/scraping/texts/American_History_X.txt
American Hustle;[u'Crime', u'Drama'];[u'Eric Warren Singer', u'David O. Russell'];American_Hustle;../data/scraping/texts/American_Hustle.txt
